Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2020.0,52819,1,PETROL,BR-01,Automatic,HatchBack,611000,Maruti,IGNIS
2019.0,19797,1,PETROL,DL-8C,Manual,HatchBack,344000,Renault,Kwid
2018.0,39198,2,PETROL,MP-04,Automatic,HatchBack,538000,Hyundai,NEW SANTRO
2016.0,16856,1,PETROL,HR-26,Manual,Sedan,702000,Honda,City
2014.0,73506,1,PETROL,DL-8C,Manual,HatchBack,269800,Toyota,Etios Liva
2015.0,51252,1,PETROL,TN-12,Automatic,Sedan,716000,Maruti,Ciaz
2019.0,20494,1,PETROL,CH-01,Manual,HatchBack,324000,Maruti,Alto
2018.0,14290,1,PETROL,MH-14,Automatic,Sedan,1368000,Maruti,Ciaz
2017.0,50359,1,PETROL,KA-04,Automatic,HatchBack,696000,Honda,Jazz
2018.0,9889,1,PETROL,DL-12,Manual,HatchBack,350000,Renault,Kwid
2014.0,40670,1,CNG,MH-12,Manual,HatchBack,376000,Maruti,Wagon R
2022.0,5303,1,PETROL,MH-12,Manual,SUV,719000,Renault,TRIBER
2016.0,63509,1,PETROL,MH-34,Automatic,HatchBack,413000,Maruti,Celerio
2021.0,17449,2,DIESEL,KA-11,Manual,HatchBack,856000,Hyundai,NEW I20
2019.0,43476,2,PETROL,RJ-02,Manual,HatchBack,588000,Maruti,Baleno
2021.0,11799,1,PETROL,KL-22,Manual,Sedan,799000,Honda,Amaze
2014.0,52914,1,PETROL,TN-22,Manual,HatchBack,364000,Maruti,Wagon R
2011.0,73284,2,PETROL,MP-09,Manual,HatchBack,218000,Hyundai,Santro Xing
2019.0,55115,2,PETROL,MH-40,Manual,HatchBack,535000,Hyundai,GRAND I10
2016.0,40547,1,PETROL,KA-05,Automatic,HatchBack,452000,Maruti,Celerio
2013.0,50244,1,PETROL,MH-01,Manual,HatchBack,298000,Maruti,Wagon R
2018.0,46656,1,PETROL,GJ-05,Manual,HatchBack,352000,Renault,Kwid
2014.0,36222,2,PETROL,MH-03,Manual,Sedan,557000,Honda,City
2012.0,66201,2,PETROL,MH-12,Manual,HatchBack,279000,Honda,Brio
2019.0,66427,1,PETROL,TS-07,Manual,Sedan,974000,Hyundai,Verna
2021.0,77064,1,CNG,HR-36,Manual,HatchBack,594000,Maruti,New Wagon-R
2019.0,21167,1,PETROL,MH-49,Automatic,HatchBack,651000,Maruti,IGNIS
2018.0,81680,1,PETROL,TN-14,Manual,HatchBack,399000,Nissan,Other
2018.0,34578,1,PETROL,RJ-45,Manual,Sedan,1111000,Honda,Amaze
2018.0,31428,2,PETROL,CH-01,Automatic,Sedan,807000,Toyota,YARIS
2021.0,20357,2,PETROL,MH-14,Manual,SUV,781000,Hyundai,VENUE
